"","id","WormBaseID","logFC"
"519","E02C12.10","WBGene00017095",5.49393706619914
"51","far-4","WBGene00001388",5.48702200086471
"112","gst-8","WBGene00001756",5.47291410079322
"1794","F23B12.1","WBGene00009079",5.47017208678049
"140","clec-206","WBGene00019089",5.46384376214385
"304","F58G6.8","WBGene00010278",5.4554701187919
"963","F14F9.6","WBGene00017469",5.44618191090097
"1605","C05B5.16","WBGene00219280",5.43308011873278
"585","B0304.4","WBGene00015136",5.43261926577814
"78","C47D12.5","WBGene00008139",5.4251388411847
"1350","egg-2","WBGene00019811",5.40909284064348
"1690","T06D4.2","WBGene00020291",5.40672006626363
"233","Y47H9C.1","WBGene00012947",5.38971667070403
"856","F35E12.2","WBGene00009426",5.38325606574671
"2252","fog-2","WBGene00001482",5.37377925217144
"153","Y46H3A.5","WBGene00021601",5.37179889840064
"104","tsp-3","WBGene00006629",5.3633730855133
"1460","mul-1","WBGene00018646",5.36099802614827
"290","ugt-36","WBGene00017315",5.35526018251802
"44","ttr-21","WBGene00008628",5.35469933322543
"600","cyp-13A12","WBGene00008810",5.32858382212673
"1392","sdz-35","WBGene00022570",5.31563771069381
"1300","C37A5.3","WBGene00014698",5.30961182646445
"181","srr-6","WBGene00005657",5.30675113706198
"185","W09C3.7","WBGene00021114",5.30014727228255
"387","dod-23","WBGene00009898",5.28688837455702
"1007","F09B12.7","WBGene00195212",5.27506221106304
"467","ets-10","WBGene00016870",5.274992785383
"1901","srx-13","WBGene00005904",5.2743283367731
"2439","W02A11.6","WBGene00014852",5.26612127080541
"87","F14H12.3","WBGene00017471",5.26187006044557
"515","Y47H10A.5","WBGene00012961",5.24871325314841
"18","hpo-26","WBGene00018492",5.24658987845735
"1055","fbxa-198","WBGene00011514",5.21386968366315
"39","cyp-33D3","WBGene00012448",5.21175202151881
"796","F25H5.8","WBGene00009130",5.21152172350356
"656","bath-4","WBGene00018665",5.20894701469033
"2016","ZK177.9","WBGene00022674",5.20392619702553
"362","clec-87","WBGene00007709",5.20324607639624
"563","E02C12.6","WBGene00017092",5.20214305884418
"581","bath-13","WBGene00018223",5.20035920437101
"544","F21H7.12","WBGene00009033",5.17234141343777
"2160","dsl-3","WBGene00001105",5.16641521860098
"1225","fkh-4","WBGene00001436",5.16606082647792
"737","F19F10.13","WBGene00219905",5.16441643278455
"41","swt-6","WBGene00011190",5.1607252331058
"628","irg-2","WBGene00016783",5.16015923550378
"965","tyr-5","WBGene00021553",5.16015253854041
"296","cyp-13A11","WBGene00008809",5.15941902872022
"473","srr-3","WBGene00005654",5.15234519277705
"119","C18H7.1","WBGene00015993",5.14531970882996
"126","W07E6.3","WBGene00021075",5.1424036819167
"773","otpl-5","WBGene00018478",5.14149863422174
"146","srg-17","WBGene00005174",5.13899675319957
"340","C30G12.11","WBGene00284861",5.13743906348166
"252","C15H9.11","WBGene00015805",5.13607429365107
"1367","W03G1.5","WBGene00021011",5.13501450306171
"514","fbxa-155","WBGene00007323",5.13409583877798
"207","srg-51","WBGene00005208",5.13323491040537
"334","F59A6.10","WBGene00044385",5.12234590220351
"292","nspb-12","WBGene00017305",5.10677815175771
"944","gst-37","WBGene00001785",5.10388229159815
"401","R02C2.7","WBGene00019818",5.10117645234201
"569","F32G8.3","WBGene00009339",5.09875378734585
"1193","C54F6.6","WBGene00016924",5.09781955637797
"869","C06E4.6","WBGene00015535",5.0966395983539
"371","skr-7","WBGene00004813",5.08980976618682
"1379","sri-74","WBGene00005586",5.08579156089738
"720","bath-2","WBGene00018668",5.08228952956281
"1954","puf-8","WBGene00004244",5.07964107276985
"235","srd-5","WBGene00005083",5.06736760194637
"53","W10C8.4","WBGene00021127",5.04380047822722
"353","cyp-13A8","WBGene00011674",5.04222088730609
"525","Y41D4B.26","WBGene00021525",5.03781555046756
"1793","W09G12.7","WBGene00021121",5.02247650676041
"281","F25A2.1","WBGene00017764",5.02148471769658
"2008","F55C5.2","WBGene00010092",5.01955025258204
"587","C12D8.15","WBGene00007542",5.01779594204626
"892","M04G7.1","WBGene00019772",5.01607331343963
"863","str-163","WBGene00006208",5.00629804095987
"524","F13A2.9","WBGene00044531",5.00330213564457
"147","F07E5.9","WBGene00017214",5.00138004004998
"1205","C48B4.7","WBGene00008170",4.99323760890631
"654","Y38H6C.20","WBGene00012632",4.98935981365455
"297","pqn-71","WBGene00004153",4.98656101006078
"1338","ZK1290.10","WBGene00022891",4.9862721898865
"715","ptr-22","WBGene00004236",4.98591350188334
"2423","ZK1053.4","WBGene00014199",4.96927183833258
"285","F09C6.14","WBGene00044278",4.96519132294462
"48","F41G3.21","WBGene00044316",4.96489346542226
"603","K07A1.1","WBGene00010608",4.96030454564909
"336","eak-4","WBGene00009955",4.95307134881589
"223","C04C3.14","WBGene00219410",4.95021522460029
"129","F21H7.2","WBGene00009028",4.94853778710112
"672","C03H5.7","WBGene00015409",4.9475670531186
"390","F47E1.3","WBGene00018567",4.93558610439586
"488","F55A4.7","WBGene00018859",4.93472021351905
"1063","R13D11.11","WBGene00206411",4.93037411309462
"1250","atz-1","WBGene00009212",4.92890216595081
"186","F57A8.7","WBGene00010182",4.92619546341546
"1216","K11H3.8","WBGene00185002",4.92550946646304
"47","pqn-94","WBGene00004173",4.92310219898222
"37","cyp-34A7","WBGene00015042",4.9205625211542
"599","cyp-13A5","WBGene00011672",4.91966906324656
"1166","nhx-6","WBGene00003734",4.91923272166369
"1281","F52C6.2","WBGene00018659",4.91487149810465
"184","skr-5","WBGene00004811",4.91298854391734
"929","F08H9.4","WBGene00008592",4.90932896229645
"640","Y41C4A.32","WBGene00270321",4.90663893037373
"475","F36H12.17","WBGene00018130",4.90637310242882
"91","dhs-14","WBGene00000977",4.90361678120086
"610","F40H7.12","WBGene00044379",4.89961542581892
"617","cht-1","WBGene00000503",4.89727208254025
"314","Y34F4.4","WBGene00021339",4.89290823683943
"361","K02E2.7","WBGene00010508",4.8924190444516
"486","nas-25","WBGene00003544",4.89213840290626
"483","nspe-4","WBGene00012589",4.88956459025369
"1616","inx-2","WBGene00002124",4.88901241677746
"2093","spe-49","WBGene00019667",4.88773983885594
"1818","mex-5","WBGene00003230",4.88420700619776
"725","C31H2.3","WBGene00016293",4.88069300376959
"203","ZC196.3","WBGene00022547",4.87996632954072
"255","fbxa-44","WBGene00008616",4.86681315483408
"449","irld-60","WBGene00013911",4.86489107574463
"420","F08D12.3","WBGene00017247",4.84808021471816
"2503","egg-4","WBGene00020652",4.84061697726826
"151","ceh-8","WBGene00000433",4.83706683063349
"635","W02D9.4","WBGene00012210",4.83036204528363
"553","C07A12.2","WBGene00015560",4.82665115298949
"123","EEED8.14","WBGene00017142",4.82163217739591
"837","F26B1.1","WBGene00017815",4.81905393453078
"2369","R09F10.8","WBGene00019989",4.8189441438231
"886","lgc-6","WBGene00017544",4.81819856913046
"1621","lido-17","WBGene00007378",4.81436491114782
"1403","Y47H9A.1","WBGene00012945",4.81246481831291
"531","F52C6.3","WBGene00018660",4.80789610889998
"881","nspe-6","WBGene00012603",4.80385019004247
"916","fbxa-107","WBGene00012564",4.80034260355163
"983","fbxa-212","WBGene00012568",4.80012418799078
"920","set-22","WBGene00012527",4.79682144526977
"850","F36H5.16","WBGene00270292",4.79546861797684
"1549","F48G7.12","WBGene00018623",4.79380838871682
"1908","C08F1.10","WBGene00015613",4.79345160533381
"317","Y38E10A.14","WBGene00012592",4.78870992038847
"1045","F12E12.12","WBGene00086558",4.78821104697581
"299","F32B5.3","WBGene00017977",4.78706591522475
"1146","zim-1","WBGene00011597",4.7859505195725
"447","Y46G5A.34","WBGene00012919",4.78497843275965
"695","M01B2.13","WBGene00045338",4.78379418137679
"508","T05A7.7","WBGene00020224",4.78378025986116
"626","B0281.5","WBGene00015112",4.78199109738185
"505","ZC15.11","WBGene00197080",4.78190623968641
"1414","tbb-6","WBGene00006539",4.78108116200323
"344","fbxa-95","WBGene00009222",4.77297973671791
"883","fbxb-75","WBGene00019956",4.76925247202981
"1001","eak-3","WBGene00022356",4.76865441651393
"250","ppt-1","WBGene00004092",4.76324945546564
"1018","C54F6.5","WBGene00016923",4.76216735080614
"192","pals-29","WBGene00012091",4.76044124550393
"832","ttr-5","WBGene00008040",4.74995485441564
"345","Y52E8A.2","WBGene00021795",4.73996318745728
"439","bath-7","WBGene00018667",4.73979293954284
"1937","Y57A10A.5","WBGene00013250",4.7387957201629
"135","T16G1.4","WBGene00011798",4.73564625788349
"669","linc-115","WBGene00219639",4.73309845579065
"1134","fbxa-114","WBGene00013758",4.72869416534184
"621","F36A2.14","WBGene00023490",4.72672586733766
"1236","anr-24","WBGene00219751",4.72663199580432
"847","R08F11.7","WBGene00019970",4.72434481794674
"2240","F23H12.10","WBGene00044218",4.72316191344608
"1067","C54F6.18","WBGene00235093",4.71854543157244
"1313","heri-1","WBGene00016236",4.71842538963363
"367","clec-196","WBGene00009156",4.71709371768817
"676","math-37","WBGene00020080",4.71273740785624
"1020","T04C12.7","WBGene00011429",4.71219155863383
"555","clec-145","WBGene00013013",4.70724359640034
"173","gst-31","WBGene00001779",4.70706611044858
"1495","piit-1","WBGene00009384",4.70618122407622
"95","M162.5","WBGene00010931",4.70467532994051
"1142","fbxa-197","WBGene00011513",4.7040108816832
"111","oac-14","WBGene00008602",4.700611949172
"534","bath-28","WBGene00017461",4.7003811878388
"339","pqn-88","WBGene00004168",4.69411937133489
"155","ZK262.3","WBGene00013950",4.6888847106279
"864","C25H3.1","WBGene00016111",4.68428938836044
"936","T11F8.12","WBGene00235273",4.68392886857201
"1599","chil-4","WBGene00007469",4.67800608529089
"457","W07G1.25","WBGene00271643",4.67783391036365
"2078","prom-1","WBGene00009173",4.67593150887581
"409","EEED8.13","WBGene00017141",4.67045294356671
"786","memi-1","WBGene00003216",4.66826233083765
"2090","kca-1","WBGene00015698",4.66761145251999
"2399","W05G11.2","WBGene00021040",4.66473518842065
"1050","F15A4.6","WBGene00008841",4.6639457704497
"1245","F56D2.8","WBGene00018968",4.6629948594174
"298","ZK856.14","WBGene00044020",4.66214036584741
"283","F26F2.4","WBGene00009169",4.66184664180582
"2478","Y57A10A.7","WBGene00013252",4.66160016457836
"560","Y73F4A.3","WBGene00013516",4.65977342644097
"212","cnc-11","WBGene00044900",4.65730558031489
"1150","W02H3.1","WBGene00012217",4.65553955365497
"784","uev-2","WBGene00006731",4.65496258369359
"1071","C07G1.15","WBGene00235296",4.65409661393941
"673","clec-266","WBGene00016088",4.64803758539176
"1607","fbxa-163","WBGene00015598",4.64572589633513
"1635","bath-30","WBGene00017460",4.63709933997223
"225","Y51B9A.10","WBGene00044170",4.63486782692288
"875","M01G12.5","WBGene00010819",4.63306667432207
"1006","F01G10.4","WBGene00008507",4.63253144388803
"1374","bath-1","WBGene00019139",4.62187340577778
"1873","syp-4","WBGene00019247",4.6214071849887
"1530","ZK285.2","WBGene00013961",4.61854420704565
"97","K08F9.3","WBGene00010686",4.61777922148929
"968","D1086.2","WBGene00008389",4.61640242260963
"843","fbxc-55","WBGene00021297",4.61020130287894
"1028","gpx-3","WBGene00007517",4.60073134591674
"641","D1044.7","WBGene00017032",4.59879028233611
"2404","R03H10.6","WBGene00019858",4.59819868103843
"1702","T23F2.4","WBGene00020737",4.59659408469205
"1289","nhr-239","WBGene00021848",4.59459200819203
"294","catp-2","WBGene00015338",4.59449552517794
"377","ddn-2","WBGene00009399",4.59345232985246
"1756","inx-9","WBGene00002131",4.59094281146183
"1170","linc-37","WBGene00219709",4.59090519153053
"937","dos-1","WBGene00013980",4.58828593731625
"1257","htp-3","WBGene00002034",4.58370877627146
"2467","C05B5.10","WBGene00044130",4.58024556384528
"136","ugt-41","WBGene00017336",4.57989305112505
"1518","fbxa-140","WBGene00008130",4.57896647398922
"727","K02F3.15","WBGene00220001",4.57740047867975
"1101","Y55F3BR.11","WBGene00044757",4.57529420941525
"262","stdh-2","WBGene00008678",4.57368122800506
"1296","fbxb-70","WBGene00014149",4.5703679264807
"161","R09E10.13","WBGene00194658",4.56961483484115
"194","ugt-18","WBGene00013900",4.56852714767049
"79","B0238.12","WBGene00015076",4.56549475451369
"1122","srt-24","WBGene00021951",4.56313997390275
"770","nos-1","WBGene00003783",4.55893504806507
"867","bath-45","WBGene00009247",4.55826051354178
"780","gad-2","WBGene00015666",4.55796412653125
"1882","ztf-28","WBGene00018099",4.557850007905
"2132","Y57A10A.6","WBGene00013251",4.55508904675478
"489","W10C8.6","WBGene00044433",4.55469509585581
"1602","nhr-30","WBGene00016091",4.55183920535596
"674","F42C5.3","WBGene00018345",4.55110575728492
"819","R10D12.7","WBGene00011188",4.54933794408721
"964","C36B7.2","WBGene00016465",4.54812690219879
"2276","srt-63","WBGene00020877",4.5412019923209
"1005","EGAP1.1","WBGene00017146",4.53971511853535
"308","sri-70","WBGene00005582",4.53793136605699
"1473","T06E6.15","WBGene00044759",4.5355177777101
"771","F43C1.7","WBGene00023423",4.53535552417998
"1531","F19B10.13","WBGene00194713",4.53212387135734
"2009","T20B12.4","WBGene00020602",4.52938249951446
"897","tsp-5","WBGene00006631",4.52628244845845
"1226","nlp-57","WBGene00008589",4.52517569665144
"1161","gcy-5","WBGene00001532",4.52235066354977
"793","ncr-2","WBGene00003562",4.51935792229011
"1894","C07E3.8","WBGene00007418",4.51253621610077
"1160","fbxb-7","WBGene00012492",4.51146706062572
"1852","ZC47.11","WBGene00014979",4.50630342130591
"217","cpn-4","WBGene00000780",4.50312925565075
"1013","sri-31","WBGene00005543",4.49816189333564
"1875","inx-14","WBGene00002136",4.49062560824832
"422","T08E11.1","WBGene00020357",4.48976604843423
"2570","C52E4.7","WBGene00008259",4.48806927684266
"21","W01F3.2","WBGene00012185",4.48573940004599
"941","C06E4.3","WBGene00015532",4.48535140782304
"573","ZK637.6","WBGene00014987",4.4844202877705
"1587","F49F1.5","WBGene00018645",4.48110525859091
"80","gst-15","WBGene00001763",4.48032197803304
"511","chil-16","WBGene00011158",4.47879675259882
"500","F48C1.11","WBGene00195179",4.47729107466419
"430","fbxa-211","WBGene00012566",4.47623786646806
"139","R09E12.9","WBGene00044514",4.47491184947071
"1208","neg-1","WBGene00017985",4.47420421324718
"1869","T27A3.8","WBGene00044611",4.47375035665151
"894","nlp-19","WBGene00003757",4.47358419433276
"2122","F33E2.10","WBGene00077769",4.47244588707924
"157","lury-1","WBGene00013548",4.47075866085564
"807","Y48G9A.11","WBGene00021704",4.46366485341375
"1073","myo-5","WBGene00019064",4.4634413646479
"1831","T07D10.8","WBGene00045509",4.46246309951634
"369","Y41D4A.1","WBGene00021504",4.4620698553214
"642","Y110A2AL.2","WBGene00022439",4.45902831759432
"291","str-182","WBGene00006226",4.45340362288699
"2145","Y53F4B.8","WBGene00013155",4.45293790519635
"226","cyp-35A4","WBGene00016786",4.45169886624372
"749","T25E4.2","WBGene00020804",4.44963106804073
"145","cnc-4","WBGene00000558",4.44884568955944
"1738","F53F4.8","WBGene00009991",4.44880424417612
"1274","K09D9.14","WBGene00269424",4.44846937648347
"596","srh-39","WBGene00005262",4.44675662184064
"561","C16C8.4","WBGene00015842",4.44548711498182
"1741","ces-2","WBGene00000469",4.44343047849046
"795","B0205.14","WBGene00044646",4.44272258183645
"616","F56A6.5","WBGene00044427",4.44192291172547
"1802","F09C6.12","WBGene00044182",4.43735428583996
"579","pals-33","WBGene00021081",4.4318712098565
"1388","Y53F4B.19","WBGene00013165",4.42934426470151
"2384","hsp-16.48","WBGene00002019",4.42712342152239
"707","W09C3.8","WBGene00021115",4.42660797054598
"60","gst-33","WBGene00001781",4.42419856180718
"482","F14H8.5","WBGene00008835",4.42208673663813
"259","R74.10","WBGene00206525",4.42049961679985
"595","btb-3","WBGene00015013",4.41746718274752
"386","C39D10.6","WBGene00016533",4.41643115200496
"1500","ZK1240.8","WBGene00022872",4.41580428270209
"1724","C03B8.2","WBGene00015385",4.41506014252166
"2499","F15D4.5","WBGene00008862",4.41433571756475
"853","F32A7.8","WBGene00044245",4.41388613534324
"2149","col-165","WBGene00000738",4.41110817736121
"375","C54F6.17","WBGene00235092",4.41075626806437
"1255","C45B11.2","WBGene00008105",4.40908903009985
"852","F08F1.4","WBGene00017258",4.40849647381967
"808","ZK697.14","WBGene00022809",4.40643575228734
"1112","sre-19","WBGene00012708",4.40640873330009
"1426","ZK218.5","WBGene00013939",4.40580205425968
"984","fipr-22","WBGene00007989",4.40574285767703
"493","C55A1.6","WBGene00008323",4.40470508489225
"876","ZK622.4","WBGene00022782",4.404528497078
"247","ZK262.2","WBGene00013949",4.4022017158364
"1885","F14F9.3","WBGene00017466",4.39662463445342
"1266","memi-2","WBGene00013380",4.39609810656234
"1137","ZK1053.3","WBGene00014198",4.39563087901303
"1854","hsp-16.2","WBGene00002016",4.38863912251341
"350","zig-3","WBGene00006980",4.3855239506984
"1502","cutl-13","WBGene00021025",4.38515908730743
"86","pqn-25","WBGene00004114",4.38371005136358
"1181","har-2","WBGene00011988",4.38222072811042
"1713","K03H6.4","WBGene00019369",4.37159833415351
"132","B0507.8","WBGene00015225",4.35724431268667
"1029","nhr-178","WBGene00017510",4.35673875030268
"801","C18A11.2","WBGene00015948",4.35539420699175
"1576","fbxa-75","WBGene00022476",4.35525128228017
"824","cdr-4","WBGene00010470",4.35376163322753
"270","F15D4.4","WBGene00008861",4.35329350233142
"1585","swah-1","WBGene00007985",4.35006540841394
"402","far-3","WBGene00001387",4.34964025599847
"63","T22B11.4","WBGene00020678",4.34824733931979
"2288","F40C5.2","WBGene00018229",4.34732074384379
"2018","C25F9.2","WBGene00007723",4.33913386032505
"636","C17D12.3","WBGene00007638",4.33849718052216
"880","C16C8.9","WBGene00015847",4.33645582096746
"1175","B0507.17","WBGene00235307",4.33251871916018
"2463","F22E5.6","WBGene00017705",4.33044571042894
"1476","gst-41","WBGene00001789",4.32705822238406
"1031","spe-10","WBGene00004964",4.32686144211837
"1000","fipr-24","WBGene00007992",4.32667993033321
"67","eol-1","WBGene00045401",4.32430241741088
"1087","nlp-64","WBGene00019734",4.32033332872176
"2550","ZK1225.7","WBGene00014994",4.3147370148511
"189","M163.8","WBGene00010940",4.31370071658655
"2310","oac-3","WBGene00007361",4.3130698265018
"434","tnc-2","WBGene00006583",4.31203120951392
"1070","K11H3.4","WBGene00010781",4.3119312486887
"307","C30G12.10","WBGene00284859",4.30331886508769
"723","C05C9.2","WBGene00007326",4.2990334448679
"747","F09C6.11","WBGene00044181",4.29879158125726
"159","Y41G9A.10","WBGene00044901",4.29369185568778
"103","myo-1","WBGene00002348",4.29286896555246
"683","T01C3.3","WBGene00011320",4.28991540601848
"1573","Y75B8A.33","WBGene00013563",4.28797075706062
"373","pqn-60","WBGene00004144",4.28565157855249
"696","abu-10","WBGene00000033",4.28383604942504
"1404","F53H2.1","WBGene00010004",4.28215192543524
"2489","cya-2","WBGene00000864",4.27643707432828
"337","fbxa-206","WBGene00013610",4.27558615932724
"1008","nhr-199","WBGene00010604",4.27321663895748
"1507","cwp-2","WBGene00000860",4.27280107359583
"766","W04H10.2","WBGene00021031",4.2670044961728
"1103","sra-34","WBGene00005060",4.26458949039108
"69","ddn-1","WBGene00015227",4.26295836683632
"451","fbxa-50","WBGene00013844",4.25918267173777
"363","pals-14","WBGene00009061",4.25654536127947
"542","M162.9","WBGene00014811",4.25559222134475
"277","pqn-31","WBGene00004119",4.25558932998443
"1387","T05A10.6","WBGene00011463",4.25442487464879
"421","Y73F4A.2","WBGene00013515",4.25344071784194
"471","F56C4.4","WBGene00044977",4.25281279317867
"120","ttr-29","WBGene00011286",4.24964687781566
"611","flp-33","WBGene00011586",4.24904032501218
"118","F19B2.5","WBGene00008944",4.24846473461112
"966","C29G2.2","WBGene00016230",4.24552196512338
"1987","rom-3","WBGene00004402",4.24306602742567
"234","cyp-35A3","WBGene00019565",4.24298101026429
"756","tts-1","WBGene00006650",4.23966905806333
"1373","col-181","WBGene00000754",4.23070717238889
"943","ilys-3","WBGene00016670",4.22522817348951
"539","srj-4","WBGene00005592",4.21996818547865
"84","C34B7.1","WBGene00007911",4.21310513998201
"154","gst-5","WBGene00001753",4.21002889690527
"40","clik-2","WBGene00016898",4.20764804588781
"98","nlp-34","WBGene00015046",4.20561821747682
"1390","chil-26","WBGene00011847",4.20129690244277
"218","fipr-8","WBGene00007537",4.19646214142834
"1454","F59H6.3","WBGene00019134",4.19641955506907
"1380","str-87","WBGene00006146",4.1956081553805
"2003","Y58A7A.4","WBGene00021978",4.19527821895769
"2297","rec-8","WBGene00004333",4.19512490092967
"306","clec-139","WBGene00018050",4.19212225397024
"1991","ech-9","WBGene00001158",4.18857095652683
"464","mtl-1","WBGene00003473",4.18604889844061
"1478","sre-15","WBGene00012709",4.18590791385402
"865","bath-14","WBGene00015016",4.18500663467755
"977","ZC21.10","WBGene00044443",4.18084475715962
"975","cyb-2.1","WBGene00000866",4.17702314883492
"605","fbxa-101","WBGene00008569",4.17642875842813
"1400","djr-1.2","WBGene00016789",4.17628792097598
"72","cup-16","WBGene00007919",4.17586566121102
"961","bath-3","WBGene00019140",4.17545092253629
"1162","linc-43","WBGene00219579",4.17230557716233
"1466","ttr-37","WBGene00017667",4.17214324493203
"503","oig-3","WBGene00003861",4.16877870363098
"502","F07F6.7","WBGene00017219",4.16611212610506
"985","M02E1.4","WBGene00284848",4.16603868962584
"408","F13A2.2","WBGene00017411",4.16537380047808
"1079","ani-2","WBGene00019608",4.16359134587355
"236","myo-2","WBGene00003514",4.16265551051505
"1730","hsp-16.41","WBGene00002018",4.16160295189637
"1715","Y8A9A.2","WBGene00021171",4.16078662350301
"2138","C08F1.6","WBGene00015610",4.15884639383987
"1085","abf-6","WBGene00000017",4.15850611327849
"406","C49G7.12","WBGene00077593",4.15306045235818
"1246","trh-1","WBGene00007827",4.1520834941742
"267","odr-10","WBGene00003856",4.1519702841181
"991","str-57","WBGene00006122",4.14949085440418
"1011","fbxa-94","WBGene00009225",4.14949085440418
"1140","str-79","WBGene00006139",4.14656731322437
"521","K12B6.4","WBGene00019669",4.14199610451155
"195","R05D8.7","WBGene00019885",4.14180157430718
"854","pals-27","WBGene00007132",4.14050381607907
"1177","C16C8.5","WBGene00015843",4.13728104935894
"1012","B0507.15","WBGene00202499",4.13632535762425
"885","EEED8.12","WBGene00017140",4.12966138324442
"1817","lgc-29","WBGene00044528",4.12923486351587
"733","F35H10.3","WBGene00018069",4.12778452179725
"697","K09H9.7","WBGene00019598",4.12577745703163
"1329","Y58A7A.5","WBGene00021979",4.11758141687687
"1114","srh-222","WBGene00005432",4.11590330205445
"261","Y11D7A.8","WBGene00012432",4.11541222569395
"945","ZK616.5","WBGene00022775",4.11133268823998
"2208","CD4.8","WBGene00016993",4.10997024278375
"836","ins-4","WBGene00002087",4.10888474127539
"1791","Y48G1BM.8","WBGene00021673",4.10710986729132
"604","K12D9.1","WBGene00019675",4.10292246232979
"426","C05E11.6","WBGene00015495",4.10237893618819
"558","T22B11.1","WBGene00020675",4.10215938182001
"1505","cyp-34A10","WBGene00015045",4.10194199758812
"1394","T03E6.9","WBGene00045356",4.09876663869114
"1144","lgc-28","WBGene00044301",4.09236627264505
"444","F12E12.11","WBGene00044811",4.09182829025101
"1202","T13G4.7","WBGene00020494",4.09044592460204
"912","srv-24","WBGene00005735",4.08804710539861
"407","Y75B8A.39","WBGene00023483",4.08800937734063
"533","fbxa-215","WBGene00012879",4.08717075994742
"1886","fbxc-44","WBGene00015819",4.08555630680678
"1442","marc-2","WBGene00008433",4.07155171465073
"757","nlp-76","WBGene00045386",4.07122355525354
"805","sun-1","WBGene00006311",4.06842127266148
"275","C28G1.2","WBGene00016187",4.0673107245598
"356","F47H4.12","WBGene00043053",4.06582352571934
"1232","K07H8.11","WBGene00044510",4.06468418745415
"1131","C06A5.8","WBGene00015505",4.06467507465995
"1516","Y17G9B.4","WBGene00021201",4.06049359302821
"1279","otpl-6","WBGene00018479",4.06048255112153
"2474","syp-1","WBGene00006375",4.06035963849179
